Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs,Player-additional
Landon Dickerson,G,PHI,17,17,6,4,13,1,DickLa00
Donovan Smith,T,TAM,13,13,7,4,12,1,SmitDo02
Kevin Dotson,OL,PIT,17,17,4,4,11,0,DotsKe00
Ikem Ekwonu,T,CAR,17,17,4,4,11,2,EkwoIk00
Jermaine Eluemunor,OL,LVR,17,17,2,6,11,0,ElueJe00
Tyler Smith,OL,DAL,17,17,6,5,11,3,SmitTy02
Robert Hunt,OL,MIA,17,17,4,5,10,2,HuntRo01
Laremy Tunsil,OL,HOU,17,17,3,7,10,0,TunsLa00
Trent Brown,OL,NWE,17,16,2,5,9,2,BrowTr02
Charles Cross,T,SEA,17,17,3,6,9,0,CrosCh00
Dan Moore,T,PIT,17,17,4,4,9,1,MoorDa05
Jake Brendel,OL,SFO,17,17,4,3,8,2,BrenJa01
Dion Dawkins,T,BUF,15,15,4,3,8,3,DawkDi00
George Fant,T,NYJ,8,7,4,3,8,0,FantGe00
Braxton Jones,OL,CHI,17,17,3,5,8,2,JoneBr08
Mike McGlinchey,T,SFO,17,17,4,2,8,2,McGlMi00
Morgan Moses,T,BAL,17,17,1,4,8,1,MoseMo00
Nicholas Petit-Frere,OL,TEN,16,16,1,5,8,0,PetiNi00
Billy Price,OL,ARI,11,11,1,6,8,0,PricBi01
Penei Sewell,T,DET,17,17,3,4,8,1,SewePe00
Braden Smith,T,IND,16,16,2,4,8,3,SmitBr06
Jedrick Wills,T,CLE,17,17,6,2,8,1,WillJe04
Isaiah Wynn,OL,NWE,9,7,4,4,8,0,WynnIs00
Brady Christensen,T,CAR,17,17,4,1,7,2,ChriBr00
La'el Collins,T,CIN,15,15,4,2,7,1,CollLa01
Graham Glasgow,G,DEN,17,13,4,3,7,0,GlasGr00
Kenyon Green,OL,HOU,15,14,4,2,7,5,GreeKe03
Zion Johnson,G,LAC,17,17,4,2,7,1,JohnZi00
Josh Jones,OL,ARI,17,9,3,2,7,2,JoneJo07
Abraham Lucas,T,SEA,16,16,2,4,7,0,LucaAb00
Bernhard Raimann,T,IND,16,11,4,2,7,1,RaimBe00
Cam Robinson,OL,JAX,14,14,3,3,7,1,RobiCa00
Rodger Saffold,G,BUF,16,16,3,4,7,3,SaffRo20
Andrew Wylie,G,KAN,17,17,4,0,7,1,WyliAn00
Kelvin Beachum,OL,ARI,17,17,0,4,6,1,BeacKe00
Aaron Brewer,G,TEN,17,17,4,2,6,2,BrewAa01
Duane Brown,T,NYJ,12,12,2,3,6,0,BrowDu20
Orlando Brown,T,KAN,17,17,2,4,6,0,BrowOr00
Spencer Brown,T,BUF,14,14,3,3,6,2,BrowSp00
Jack Conklin,T,CLE,14,14,4,0,6,3,ConkJa00
Drew Dalman,OL,ATL,17,17,5,0,6,2,DalmDr00
Taylor Decker,T,DET,17,17,2,4,6,0,DeckTa00
Jon Feliciano,OL,NYG,15,15,4,0,6,0,FeliJo00
Jason Kelce,C,PHI,17,17,2,2,6,1,KelcJa00
Damien Lewis,G,SEA,16,16,3,0,6,1,LewiDa05
Tyler Linderbaum,C,BAL,17,17,3,3,6,0,LindTy00
Jordan Mailata,T,PHI,16,16,2,3,6,1,MailJo00
Evan Neal,T,NYG,13,13,0,6,6,0,NealEv00
Yosuah Nijman,T,GNB,17,13,4,2,6,4,NijmYo01
Ty Nsekhe,T,LAR,10,8,1,4,6,0,NsekTy00
Trey Pipkins,T,LAC,14,14,2,3,6,0,PipkTr00
Terence Steele,T,DAL,13,13,1,5,6,0,SteeTe01
Jawaan Taylor,OL,JAX,17,17,1,3,6,1,TaylJa02
Jonah Williams,T,CIN,16,16,2,2,6,0,WillJo10
Trent Williams,T,SFO,14,14,2,4,6,3,WillTr21
Terron Armstead,T,MIA,13,13,2,2,5,1,ArmsTe00
Tyler Biadasz,C,DAL,16,16,2,2,5,0,BiadTy00
Spencer Burford,OL,SFO,16,16,2,2,5,0,BurfSp00
Lloyd Cushenberry,C,DEN,8,8,2,2,5,1,CushLl00
Dennis Daley,OL,TEN,17,15,1,4,5,1,DaleDe00
Matt Feiler,G,LAC,17,17,1,2,5,1,FeilMa00
Luke Goedeke,G,TAM,11,8,2,3,5,0,GoedLu00
Rob Havenstein,OL,LAR,17,17,2,3,5,3,HaveRo00
Will Hernandez,OL,ARI,13,13,2,0,5,1,HernWi00
Tytus Howard,OL,HOU,17,17,0,5,5,3,HowaTy00
Lane Johnson,T,PHI,15,15,1,3,5,2,JohnLa01
Charles Leno,T,WAS,17,17,2,3,5,0,LenoCh00
Erik McCoy,OL,NOR,13,13,2,2,5,0,McCoEr01
Kolton Miller,T,LVR,16,16,0,4,5,1,MillKo00
Brian O'Neill,T,MIN,16,16,0,4,5,0,ONeiBr00
Matt Pryor,T,IND,16,9,3,2,5,0,PryoMa00
Dillon Radunz,OL,TEN,11,4,2,3,5,0,RaduDi00
Cole Strange,OL,NWE,17,17,4,1,5,2,StraCo01
Wyatt Teller,G,CLE,15,15,3,2,5,1,TellWy00
Calvin Throckmorton,OL,NOR,14,6,0,5,5,0,ThroCa01
Elijah Wilkinson,T,ATL,9,9,0,3,5,0,WilkEl00
